Wrong Subtraction,http://codeforces.com/problemset/problem/977/A
Minimal k-covering,http://codeforces.com/problemset/problem/976/F
Well played!,http://codeforces.com/problemset/problem/976/E
Degree Set,http://codeforces.com/problemset/problem/976/D
Nested Segments,http://codeforces.com/problemset/problem/976/C
Lara Croft and the New Game,http://codeforces.com/problemset/problem/976/B
Minimum Binary Number,http://codeforces.com/problemset/problem/976/A
Hag's Khashba,http://codeforces.com/problemset/problem/975/E
Ghosts,http://codeforces.com/problemset/problem/975/D
Valhalla Siege,http://codeforces.com/problemset/problem/975/C
Mancala,http://codeforces.com/problemset/problem/975/B
Aramic script,http://codeforces.com/problemset/problem/975/A
Watering System,http://codeforces.com/problemset/problem/967/B
Mind the Gap,http://codeforces.com/problemset/problem/967/A
Short Code,http://codeforces.com/problemset/problem/965/E
Single-use Stones,http://codeforces.com/problemset/problem/965/D
Greedy Arkady,http://codeforces.com/problemset/problem/965/C
Battleship,http://codeforces.com/problemset/problem/965/B
Paper Airplanes,http://codeforces.com/problemset/problem/965/A
Messages,http://codeforces.com/problemset/problem/964/B
Splits,http://codeforces.com/problemset/problem/964/A
Circles of Waiting,http://codeforces.com/problemset/problem/963/E
Frequency of String,http://codeforces.com/problemset/problem/963/D
Cutting Rectangle,http://codeforces.com/problemset/problem/963/C
Destruction of a Tree,http://codeforces.com/problemset/problem/963/B
Alternating Sum,http://codeforces.com/problemset/problem/963/A
Visible Black Areas,http://codeforces.com/problemset/problem/962/G
Simple Cycles Edges,http://codeforces.com/problemset/problem/962/F
Byteland, Berland and Disputed Cities,http://codeforces.com/problemset/problem/962/E
Merge Equals,http://codeforces.com/problemset/problem/962/D
Make a Square,http://codeforces.com/problemset/problem/962/C
Students in Railway Carriage,http://codeforces.com/problemset/problem/962/B
Equator,http://codeforces.com/problemset/problem/962/A
Partitions,http://codeforces.com/problemset/problem/961/G
k-substrings,http://codeforces.com/problemset/problem/961/F
Tufurama,http://codeforces.com/problemset/problem/961/E
Pair Of Lines,http://codeforces.com/problemset/problem/961/D
Chessboard,http://codeforces.com/problemset/problem/961/C
Lecture Sleep,http://codeforces.com/problemset/problem/961/B
Tetris,http://codeforces.com/problemset/problem/961/A
Santa's Gift,http://codeforces.com/problemset/problem/960/H
Bandit Blues,http://codeforces.com/problemset/problem/960/G
Pathwalks,http://codeforces.com/problemset/problem/960/F
Alternating Tree,http://codeforces.com/problemset/problem/960/E
Full Binary Tree Queries,http://codeforces.com/problemset/problem/960/D
Subsequence Counting,http://codeforces.com/problemset/problem/960/C
Minimize the error,http://codeforces.com/problemset/problem/960/B
Check the string,http://codeforces.com/problemset/problem/960/A
Mahmoud and Ehab and yet another xor task,http://codeforces.com/problemset/problem/959/F
Mahmoud and Ehab and the xor-MST,http://codeforces.com/problemset/problem/959/E
Mahmoud and Ehab and another array construction task,http://codeforces.com/problemset/problem/959/D
Mahmoud and Ehab and the wrong algorithm,http://codeforces.com/problemset/problem/959/C
Mahmoud and Ehab and the message,http://codeforces.com/problemset/problem/959/B
Mahmoud and Ehab and the even-odd game,http://codeforces.com/problemset/problem/959/A
Lightsabers (hard),http://codeforces.com/problemset/problem/958/F3
Lightsabers (medium),http://codeforces.com/problemset/problem/958/F2
Lightsabers (easy),http://codeforces.com/problemset/problem/958/F1
Guard Duty (hard),http://codeforces.com/problemset/problem/958/E3
Guard Duty (medium),http://codeforces.com/problemset/problem/958/E2
Guard Duty (easy),http://codeforces.com/problemset/problem/958/E1
Hyperspace Jump (hard),http://codeforces.com/problemset/problem/958/D2
Hyperspace Jump (easy),http://codeforces.com/problemset/problem/958/D1
Encryption (hard),http://codeforces.com/problemset/problem/958/C3
Encryption (medium),http://codeforces.com/problemset/problem/958/C2
Encryption (easy),http://codeforces.com/problemset/problem/958/C1
Maximum Control (medium),http://codeforces.com/problemset/problem/958/B2
Maximum Control (easy),http://codeforces.com/problemset/problem/958/B1
Death Stars (hard),http://codeforces.com/problemset/problem/958/A3
Death Stars (medium),http://codeforces.com/problemset/problem/958/A2
Death Stars (easy),http://codeforces.com/problemset/problem/958/A1
Tritonic Iridescence,http://codeforces.com/problemset/problem/957/A
Heaps,http://codeforces.com/problemset/problem/955/F
Icicles,http://codeforces.com/problemset/problem/955/E
Scissors,http://codeforces.com/problemset/problem/955/D
Sad powers,http://codeforces.com/problemset/problem/955/C
Not simply beatiful strings,http://codeforces.com/problemset/problem/955/B
Feed the cat,http://codeforces.com/problemset/problem/955/A
Yet Another String Matching Problem,http://codeforces.com/problemset/problem/954/I
Path Counting,http://codeforces.com/problemset/problem/954/H
Castle Defense,http://codeforces.com/problemset/problem/954/G
Runner's Problem,http://codeforces.com/problemset/problem/954/F
Water Taps,http://codeforces.com/problemset/problem/954/E
Fight Against Traffic,http://codeforces.com/problemset/problem/954/D
Matrix Walk,http://codeforces.com/problemset/problem/954/C
String Typing,http://codeforces.com/problemset/problem/954/B
Diagonal Walking,http://codeforces.com/problemset/problem/954/A
Puzzling Language,http://codeforces.com/problemset/problem/952/G
